NCT Number	Status	Study Results	Interventions	Outcome Measures	Phases	URL
NCT00882180	Completed	No Results Available	Drug: ALN-VSP02	Safety and Tolerability of intravenous ALN-VSP02|Plasma and urine PK of ALN-VSP02|Assess preliminary evidence of antitumor/antiangiogenic activity	Phase 1	https://ClinicalTrials.gov/show/NCT00882180
NCT02718430	Active, not recruiting	No Results Available	Drug: VXM01	Safety and tolerability taking into account treatment-limiting toxicities (TLTs)|Immune Response by Enzme Linked Immuno Spot (ELISpot)|Immune biomarker by tumor tissue immunohistochemistry staining|Tumor vasculature by tumor tissue immunohistochemistry staining|Serum biomarker Response by Enzyme Linked Immuno Sorbent Assay (ELISA)|Clinical Response including tumor staging according to the response criteria in solid tumors (RECIST)|Biodistribution and shedding of VXM01	Phase 1	https://ClinicalTrials.gov/show/NCT02718430
NCT03022734	Recruiting	No Results Available	Drug: chemotherapy|Radiation: radiotherapy	complete resection (R0) rate for rectal and liver lesions|Response rate (RECIST V1.1)	Phase 2	https://ClinicalTrials.gov/show/NCT03022734
NCT03340558	Not yet recruiting	No Results Available	Biological: Atezolizumab|Drug: Cobimetinib	Change in CD4 T cell immune infiltrates|Change in CD8 T cell immune infiltrates|Disease-free survival|Overall Survival	Phase 2	https://ClinicalTrials.gov/show/NCT03340558
NCT01269229	Completed	No Results Available	Drug: folfox|Radiation: short course Radiotherapy	complete resection (R0) rate for rectal and liver lesions.|Response rate (RECIST V1.0)|Overall survival rate|Progression free survival time|Toxicity profile	Phase 2	https://ClinicalTrials.gov/show/NCT01269229
NCT00091117	Completed	No Results Available	Drug: bortezomib|Other: pharmacological study	DLT|MTD	Phase 1	https://ClinicalTrials.gov/show/NCT00091117
NCT01695772	Completed	Has Results	Drug: 5-FU based doublet chemotherapy|Drug: bevacizumab	Percentage of Participants Achieving Complete Resection (R0 Resection)|Percentage of Participants Achieving Incomplete Tumor Resection (R1 Resection)|Percentage of Participants Achieving Objective Response|Number of Participants With Disease Progression or Relapse or Death|Progression Free Survival (PFS)|Percent Probability (PP) of Being Alive and Progression Free at Months 3, 6, 9, 12, 15, and 18|Number of Participants With Disease Relapse or Death|Disease Free Survival (DFS)|Percent Probability Of Being Alive and Disease Free at Months 3, 6, 9, and 12	Phase 4	https://ClinicalTrials.gov/show/NCT01695772
NCT02837263	Recruiting	No Results Available	Radiation: Stereotactic body radiotherapy (SBRT)|Drug: Pembrolizumab	Recurrence rate at 1 year|Time to recurrence estimated using the Kaplan-Meier method|Disease-free survival estimated using the Kaplan-Meier method|Overall survival estimated using the Kaplan-Meier method	Phase 1	https://ClinicalTrials.gov/show/NCT02837263
NCT00002793	Unknown status	No Results Available	Drug: fluorouracil|Drug: leucovorin calcium		Phase 3	https://ClinicalTrials.gov/show/NCT00002793
NCT00006479	Unknown status	No Results Available	Drug: FOLFOX regimen|Drug: fluorouracil|Drug: leucovorin calcium|Drug: oxaliplatin|Procedure: adjuvant therapy|Procedure: conventional surgery|Procedure: neoadjuvant therapy		Phase 3	https://ClinicalTrials.gov/show/NCT00006479
NCT02738606	Recruiting	No Results Available	Procedure: Liver Resection Surgery|Drug: Chemotherapy|Behavioral: Survey	Overall Survival	Phase 2	https://ClinicalTrials.gov/show/NCT02738606
NCT01022541	Completed	No Results Available	Drug: Capecitabine|Drug: Oxaliplatin|Drug: Bevacizumab|Procedure: Liver metastasectomy	Overall response rates|Complete resection (R0) rate|Safety and feasibility of adding bevacizumab to neoadjuvant capecitabine and oxaliplatin in patients undergoing liver metastasectomy|Other parameters of efficacy (response and survival) in patients with unresectable liver-only metastases treated with this neoadjuvant combination	Phase 2	https://ClinicalTrials.gov/show/NCT01022541
NCT02885753	Recruiting	No Results Available	Drug: Oxaliplatin intravenous|Drug: 5 Fu|Drug: Folinic Acid|Drug: Oxaliplatin intra-arteriel|Drug: Panitumumab|Drug: Bevacizumab	hepatic progression-free survival	Phase 3	https://ClinicalTrials.gov/show/NCT02885753
NCT03403634	Recruiting	No Results Available	Drug: Celecoxib|Other: Laboratory Biomarker Analysis|Biological: Recombinant Interferon Alfa-2b|Drug: Rintatolimod	Change in tumor-infiltrating lymphocytes (TILs) in the colorectal cancer lesions|Incidence of adverse events according to Common Terminology Criteria for Adverse Events version 4.0|Objective response rate (ORR) assessed by Response Evaluation Criteria in Solid Tumors version (RECIST) 1.1|Overall survival|Progression free survival	Early Phase 1	https://ClinicalTrials.gov/show/NCT03403634
NCT00028626	Completed	No Results Available	Drug: embolization therapy		Phase 2	https://ClinicalTrials.gov/show/NCT00028626
NCT00002692	Unknown status	No Results Available	Drug: fluorouracil|Drug: isolated perfusion|Drug: leucovorin calcium		Phase 3	https://ClinicalTrials.gov/show/NCT00002692
NCT00482222	Unknown status	No Results Available	Biological: cetuximab|Drug: capecitabine|Drug: fluorouracil|Drug: leucovorin calcium|Drug: oxaliplatin|Other: study of socioeconomic and demographic variables|Procedure: adjuvant therapy|Procedure: neoadjuvant therapy|Procedure: quality-of-life assessment	Progression-free survival|Response rate before surgery as assessed by RECIST criteria|Pathological resection status|Overall survival|Toxicity|Quality of life as assessed by the EQ-5D, EORTC QLQ-C30, and EORTC QLQ-LMC21|Cost effectiveness|Safety	Phase 3	https://ClinicalTrials.gov/show/NCT00482222
NCT02350530	Recruiting	No Results Available	Drug: FOLFOXIRI + Bevacizumab|Drug: FOLFOXIRI	The conversion rate of liver metastases|Toxicity assessed using the NCI common toxicity criteria, version 4.0.|Response rate|Overall survival time|Progression free survival|Quality of life (QLQ C30)	Phase 2	https://ClinicalTrials.gov/show/NCT02350530
NCT00049400	Completed	No Results Available	Drug: BMS-247550	dose defining|Progression|Symptomatic deterioration	Phase 1	https://ClinicalTrials.gov/show/NCT00049400
NCT00513266	Unknown status	No Results Available	Biological: bevacizumab|Biological: cetuximab|Drug: fluorouracil|Drug: irinotecan hydrochloride|Drug: leucovorin calcium|Drug: oxaliplatin|Other: laboratory biomarker analysis|Procedure: adjuvant therapy|Procedure: biopsy|Procedure: conventional surgery|Procedure: neoadjuvant therapy	Pathological complete response rate of lesions of less than or equal to 30 mm in size assessed by pathologic examination in resected specimens|Response as assessed by NCIC criteria|Toxicity as assessed by NCIC criteria	Phase 2	https://ClinicalTrials.gov/show/NCT00513266
NCT00003834	Completed	No Results Available	Drug: fluorouracil|Drug: leucovorin calcium|Drug: oxaliplatin	response rate|overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT00003834
NCT03487939	Not yet recruiting	No Results Available	Drug: FOLFOXIRI	The ratio of tumor downstaging to stage 0 and stage I|Tumor regression grade (TRG)|Disease free survival|Overall survival time|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|ctDNA assessment and relation to clinical outcome|SUVmax assessment and relation to clinical outcome|Quality of life (QLQ C30)	Phase 2	https://ClinicalTrials.gov/show/NCT03487939
NCT00023868	Completed	No Results Available	Drug: FOLFIRI regimen|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: fluorouracil|Drug: irinotecan hydrochloride|Drug: leucovorin calcium|Drug: mitomycin C		Phase 3	https://ClinicalTrials.gov/show/NCT00023868
NCT03069950	Recruiting	No Results Available	Drug: Floxuridine (FUDR)|Drug: Irinotecan (CPT-11)|Drug: FLUOROURACIL|Drug: PANITUMUMAB|Drug: DEXAMETHASONE|Drug: Leucovorin	Resection rate assessed using RECIST (version 1.1)	Phase 2	https://ClinicalTrials.gov/show/NCT03069950
NCT00006062	Completed	No Results Available	Drug: oxaliplatin		Phase 1	https://ClinicalTrials.gov/show/NCT00006062
NCT00436267	Unknown status	No Results Available	Drug: fluorouracil|Radiation: selective external radiation therapy|Radiation: tomotherapy|Radiation: yttrium Y 90 glass microspheres|Radiation: yttrium Y 90 resin microspheres	Tumor response|Hepatic and systemic toxicity|Time to progression|Survival	Phase 2	https://ClinicalTrials.gov/show/NCT00436267
NCT00764595	Completed	No Results Available	Drug: imatinib mesylate	Progression-free survival|Tumor response|Overall survival|Types and severities of adverse events	Phase 2	https://ClinicalTrials.gov/show/NCT00764595
NCT00002901	Completed	No Results Available	Drug: docetaxel		Phase 1	https://ClinicalTrials.gov/show/NCT00002901
NCT02494973	Recruiting	No Results Available	Drug: Oxaliplatin HAI|Drug: Oxaliplatin IV|Drug: mFOLFOX6|Drug: LV5FU2	18-month hepatic RFS rate|3-year RFS rate	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT02494973
NCT03401294	Not yet recruiting	No Results Available	Drug: FOLFOXIRI and Bevacizumab	Rate of liver metastasectomy|Response rate|Toxicity|The European Organization for Research and Treatment of Cancer (EORTC) Quality of Life Questionnaire Core 30 (QLQ-C30)|The European Organization for Research and Treatment of Cancer (EORTC) Colorectal Cancer Module (QLQ-CR29)|The European Organization for Research and Treatment of Cancer (EORTC) Colorectal Liver Metastases Module (LMC21)|Early-PET scan response|Progression-free survival|Overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT03401294
NCT00674024	Completed	No Results Available	Drug: Pazopanib|Drug: Pazopanib (GW786034)(GW786034)	To establish the MTD and DLT of pazopanib in groups of patients with varying degrees of hepatic dysfunction (mild, moderate, and severe) to provide appropriate dosing recommendations for panzopanib in such patients.|To characterize the pharmacokinetic (PK) and pharmacodynamic (PD) profiles of pazopanib and metabolites (GSK1071306, GSK1268992, GSK1268997, and GW700201) in patients with varying degrees of hepatic dysfunction.	Phase 1	https://ClinicalTrials.gov/show/NCT00674024
NCT00006050	Unknown status	No Results Available	Drug: FOLFOX regimen|Drug: fluorouracil|Drug: isolated perfusion|Drug: leucovorin calcium|Drug: oxaliplatin		Phase 2	https://ClinicalTrials.gov/show/NCT00006050
NCT01802645	Recruiting	No Results Available	Drug: Cetuximab|Drug: Bevacizumab|Drug: Irinotecan|Drug: Oxaliplatin|Drug: 5-FU|Drug: Folinic Acid	Response rate|Rate of resected patients without early relaps	Phase 2	https://ClinicalTrials.gov/show/NCT01802645
NCT00656123	Unknown status	No Results Available	Biological: GM-K562 cell vaccine|Biological: allogeneic tumor cell vaccine|Drug: cyclophosphamide|Genetic: gene expression analysis|Genetic: protein analysis|Other: immunoenzyme technique|Other: immunologic technique|Other: laboratory biomarker analysis	Safety and toxicity after course 2|Cellular vaccine response	Phase 1	https://ClinicalTrials.gov/show/NCT00656123
NCT00544349	Completed	No Results Available	Biological: cetuximab|Drug: fluorouracil|Drug: leucovorin calcium|Drug: oxaliplatin	Efficacy: objective tumor response rate (RECIST criteria)|Toxicity as assessed by NCI CTCAE v3.0|Duration of response|Duration and rate of tumor control|Secondary resectability of hepatic metastases|Progression-free survival|Overall survival|Tumor progression rate	Phase 2	https://ClinicalTrials.gov/show/NCT00544349
NCT00063960	Completed	No Results Available	Drug: floxuridine|Drug: irinotecan hydrochloride	overall survival|time to hepatic recurrence or progression	Phase 2	https://ClinicalTrials.gov/show/NCT00063960
NCT02634502	Recruiting	No Results Available	Procedure: radiofrequency ablation|Drug: S-1	Overall survival|Progression free survival	Phase 2	https://ClinicalTrials.gov/show/NCT02634502
NCT00496509	Completed	No Results Available	Drug: ZD6474 (Zactima) 100mg|Procedure: Dynamic Contrast-Enhanced Magnetic Resonance Imaging (DCE-MR)|Procedure: Biomarker Draws|Drug: ZD6474 (Zactima) 300mg	Assess by dynamic contrast-enhanced magnetic resonance imaging the effect of once daily dosing with ZD6474 on tumour perfusion and vascular permeability in patients with advanced colorectal cancer and liver metastases.|Assessment of appropriate Pharmacokinetic parameters|Determine the population PK of ZD6474 and assess the relationship between both free and total plasma PK and measures of Pharmacological activity|Assessment of the effectiveness of ZD6474 as measured by objective response rate and progression free survival based on RECIST.	Phase 1	https://ClinicalTrials.gov/show/NCT00496509
NCT00002716	Completed	No Results Available	Drug: dexamethasone|Drug: floxuridine|Drug: fluorouracil|Drug: leucovorin calcium|Procedure: laparotomy|Procedure: conventional surgery	Overall survival|Time to progression	Phase 3	https://ClinicalTrials.gov/show/NCT00002716
NCT00557102	Completed	No Results Available	Biological: cetuximab|Biological: filgrastim|Drug: fluorouracil|Drug: irinotecan hydrochloride|Drug: leucovorin calcium	Tumor response rate|Rate of resectability|Overall and disease-free survival|Tolerability	Phase 2	https://ClinicalTrials.gov/show/NCT00557102
NCT00003368	Completed	No Results Available	Drug: irinotecan hydrochloride		Phase 1	https://ClinicalTrials.gov/show/NCT00003368
